"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 08 23:41:28 GMT 2024","Sun Dec 08 23:41:29 GMT 2024","874","","todoMVC_TEST","","todoMVC_TEST","check_completed_tasks","check_completed_tasks()",""
"passed","Sun Dec 08 23:41:26 GMT 2024","Sun Dec 08 23:41:26 GMT 2024","460","","todoMVC_TEST","","todoMVC_TEST","check_footer_exists","check_footer_exists()",""
"passed","Sun Dec 08 23:41:22 GMT 2024","Sun Dec 08 23:41:23 GMT 2024","784","","todoMVC_TEST","","todoMVC_TEST","zero_item_left_status","zero_item_left_status()",""
"passed","Sun Dec 08 23:41:22 GMT 2024","Sun Dec 08 23:41:22 GMT 2024","630","","todoMVC_TEST","","todoMVC_TEST","two_item_left_status","two_item_left_status()",""
"passed","Sun Dec 08 23:41:26 GMT 2024","Sun Dec 08 23:41:27 GMT 2024","783","","todoMVC_TEST","","todoMVC_TEST","check_active_tasks","check_active_tasks()",""
"passed","Sun Dec 08 23:41:23 GMT 2024","Sun Dec 08 23:41:24 GMT 2024","629","","todoMVC_TEST","","todoMVC_TEST","tick_and_untick","tick_and_untick()",""
"passed","Sun Dec 08 23:41:36 GMT 2024","Sun Dec 08 23:41:36 GMT 2024","525","","todoMVC_TEST","","todoMVC_TEST","accentued_characters_allowed","accentued_characters_allowed()",""
"passed","Sun Dec 08 23:41:29 GMT 2024","Sun Dec 08 23:41:30 GMT 2024","971","","todoMVC_TEST","","todoMVC_TEST","check_completed_items_are_deleted_when_clicking_clearComplete","check_completed_items_are_deleted_when_clicking_clearComplete()",""
"passed","Sun Dec 08 23:41:25 GMT 2024","Sun Dec 08 23:41:26 GMT 2024","1157","","todoMVC_TEST","","todoMVC_TEST","check_footer_does_not_exist","check_footer_does_not_exist()",""
"passed","Sun Dec 08 23:41:24 GMT 2024","Sun Dec 08 23:41:25 GMT 2024","945","","todoMVC_TEST","","todoMVC_TEST","delete_item","delete_item()",""
"passed","Sun Dec 08 23:41:30 GMT 2024","Sun Dec 08 23:41:32 GMT 2024","1500","","todoMVC_TEST","","todoMVC_TEST","toggle_all_tests_as_completed","toggle_all_tests_as_completed()",""
"passed","Sun Dec 08 23:41:27 GMT 2024","Sun Dec 08 23:41:28 GMT 2024","858","","todoMVC_TEST","","todoMVC_TEST","check_all_tasks","check_all_tasks()",""
"passed","Sun Dec 08 23:41:19 GMT 2024","Sun Dec 08 23:41:20 GMT 2024","1145","","todoMVC_TEST","","todoMVC_TEST","getTitle","getTitle()",""
"passed","Sun Dec 08 23:41:29 GMT 2024","Sun Dec 08 23:41:29 GMT 2024","486","","todoMVC_TEST","","todoMVC_TEST","check_clear_completed_is_displayed","check_clear_completed_is_displayed()",""
"passed","Sun Dec 08 23:41:34 GMT 2024","Sun Dec 08 23:41:36 GMT 2024","1337","","todoMVC_TEST","","todoMVC_TEST","adds_single_character_item","adds_single_character_item()",""
"passed","Sun Dec 08 23:41:36 GMT 2024","Sun Dec 08 23:41:37 GMT 2024","517","","todoMVC_TEST","","todoMVC_TEST","emoji_allowed","emoji_allowed()",""
"passed","Sun Dec 08 23:41:37 GMT 2024","Sun Dec 08 23:41:40 GMT 2024","3405","","todoMVC_TEST","","todoMVC_TEST","item_with_4000_characters","item_with_4000_characters()",""
"passed","Sun Dec 08 23:41:21 GMT 2024","Sun Dec 08 23:41:22 GMT 2024","565","","todoMVC_TEST","","todoMVC_TEST","one_item_left_status","one_item_left_status()",""
"failed","Sun Dec 08 23:41:20 GMT 2024","Sun Dec 08 23:41:21 GMT 2024","704","","todoMVC_TEST","","todoMVC_TEST","addItem","addItem()",""
"passed","Sun Dec 08 23:41:33 GMT 2024","Sun Dec 08 23:41:34 GMT 2024","1039","","todoMVC_TEST","","todoMVC_TEST","item_cannot_be_empty","item_cannot_be_empty()",""
"passed","Sun Dec 08 23:41:32 GMT 2024","Sun Dec 08 23:41:33 GMT 2024","1592","","todoMVC_TEST","","todoMVC_TEST","toggle_all_tests_as_not_completed","toggle_all_tests_as_not_completed()",""
