"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 08 20:37:54 GMT 2024","Sun Dec 08 20:37:55 GMT 2024","822","","todoMVC_TEST","","todoMVC_TEST","check_completed_items_are_deleted_when_clicking_clearComplete","check_completed_items_are_deleted_when_clicking_clearComplete()",""
"passed","Sun Dec 08 20:37:55 GMT 2024","Sun Dec 08 20:37:57 GMT 2024","1415","","todoMVC_TEST","","todoMVC_TEST","toggle_all_tests_as_completed","toggle_all_tests_as_completed()",""
"passed","Sun Dec 08 20:37:48 GMT 2024","Sun Dec 08 20:37:49 GMT 2024","645","","todoMVC_TEST","","todoMVC_TEST","tick_and_untick","tick_and_untick()",""
"passed","Sun Dec 08 20:37:52 GMT 2024","Sun Dec 08 20:37:53 GMT 2024","844","","todoMVC_TEST","","todoMVC_TEST","check_all_tasks","check_all_tasks()",""
"passed","Sun Dec 08 20:38:01 GMT 2024","Sun Dec 08 20:38:01 GMT 2024","444","","todoMVC_TEST","","todoMVC_TEST","emoji_allowed","emoji_allowed()",""
"passed","Sun Dec 08 20:38:00 GMT 2024","Sun Dec 08 20:38:01 GMT 2024","434","","todoMVC_TEST","","todoMVC_TEST","accentued_characters_allowed","accentued_characters_allowed()",""
"failed","Sun Dec 08 20:37:46 GMT 2024","Sun Dec 08 20:37:46 GMT 2024","631","","todoMVC_TEST","","todoMVC_TEST","addItem","addItem()",""
"passed","Sun Dec 08 20:37:53 GMT 2024","Sun Dec 08 20:37:54 GMT 2024","864","","todoMVC_TEST","","todoMVC_TEST","check_completed_tasks","check_completed_tasks()",""
"passed","Sun Dec 08 20:37:46 GMT 2024","Sun Dec 08 20:37:47 GMT 2024","496","","todoMVC_TEST","","todoMVC_TEST","one_item_left_status","one_item_left_status()",""
"passed","Sun Dec 08 20:38:01 GMT 2024","Sun Dec 08 20:38:05 GMT 2024","3594","","todoMVC_TEST","","todoMVC_TEST","item_with_4000_characters","item_with_4000_characters()",""
"passed","Sun Dec 08 20:37:49 GMT 2024","Sun Dec 08 20:37:50 GMT 2024","930","","todoMVC_TEST","","todoMVC_TEST","delete_item","delete_item()",""
"passed","Sun Dec 08 20:37:44 GMT 2024","Sun Dec 08 20:37:46 GMT 2024","1445","","todoMVC_TEST","","todoMVC_TEST","getTitle","getTitle()",""
"passed","Sun Dec 08 20:37:47 GMT 2024","Sun Dec 08 20:37:48 GMT 2024","767","","todoMVC_TEST","","todoMVC_TEST","zero_item_left_status","zero_item_left_status()",""
"passed","Sun Dec 08 20:37:59 GMT 2024","Sun Dec 08 20:38:00 GMT 2024","1249","","todoMVC_TEST","","todoMVC_TEST","adds_single_character_item","adds_single_character_item()",""
"passed","Sun Dec 08 20:37:47 GMT 2024","Sun Dec 08 20:37:47 GMT 2024","613","","todoMVC_TEST","","todoMVC_TEST","two_item_left_status","two_item_left_status()",""
"passed","Sun Dec 08 20:37:57 GMT 2024","Sun Dec 08 20:37:58 GMT 2024","1461","","todoMVC_TEST","","todoMVC_TEST","toggle_all_tests_as_not_completed","toggle_all_tests_as_not_completed()",""
"passed","Sun Dec 08 20:37:54 GMT 2024","Sun Dec 08 20:37:54 GMT 2024","474","","todoMVC_TEST","","todoMVC_TEST","check_clear_completed_is_displayed","check_clear_completed_is_displayed()",""
"passed","Sun Dec 08 20:37:58 GMT 2024","Sun Dec 08 20:37:59 GMT 2024","953","","todoMVC_TEST","","todoMVC_TEST","item_cannot_be_empty","item_cannot_be_empty()",""
"passed","Sun Dec 08 20:37:51 GMT 2024","Sun Dec 08 20:37:52 GMT 2024","824","","todoMVC_TEST","","todoMVC_TEST","check_active_tasks","check_active_tasks()",""
"passed","Sun Dec 08 20:37:51 GMT 2024","Sun Dec 08 20:37:51 GMT 2024","451","","todoMVC_TEST","","todoMVC_TEST","check_footer_exists","check_footer_exists()",""
"passed","Sun Dec 08 20:37:50 GMT 2024","Sun Dec 08 20:37:51 GMT 2024","1131","","todoMVC_TEST","","todoMVC_TEST","check_footer_does_not_exist","check_footer_does_not_exist()",""
